Dates;PETR4 BZ Equity;VALE3 BZ Equity;ITUB4 BZ Equity;BBDC4 BZ Equity;SUZB3 BZ Equity;CYRE3 BZ Equity;EMBR3 BZ Equity;SOMA3 BZ Equity;SMFT3 BZ Equity;JBSS3 BZ Equity;GGBR4 BZ Equity;CPLE6 BZ Equity;RENT3 BZ Equity;IBOV Index
10/11/2023;-0,004597709;0,015209419;0,011898832;-0,014521707;0,022393829;0,021219646;0,020998147;0,064134562;0,051293294;0,011326218;0,044775506;0,016863806;0,02554383;0,012804728
13/11/2023;0,027554648;-0,002098637;-0,006781986;-0,020148432;-0,009932029;-0,008335425;-0,011494379;0,004535155;0;-0,014654008;-0,008877674;-0,001115449;-0,024636421;-0,001311073
14/11/2023;0,013635942;0,030483017;0,014860118;0,020813104;-0,030021016;0,033409062;0,024397784;0,00301205;0,031322471;-0,005730675;0,025555996;0,032933822;0,06475731;0,022627093
15/11/2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/11/2023;-0,017566324;0,006634646;0,015963093;0,033967995;0,016997576;0,021668299;0,009188426;0,025242617;0,017467693;0,036675479;0,003322345;0,016068905;0,031695033;0,011892394
17/11/2023;0,032109041;0,001887556;0,004608303;-0,009032319;-0,008651549;-0,026441578;0,010614201;-0,016260521;-0,008259121;-0,000923788;0,011077036;-0,007466701;-0,00164856;0,001074285
20/11/2023;0,000816882;0,024219414;0,009804;0,002588998;-0,000755858;-0,002395211;0,004014055;0,025019701;-0,014066166;0,008283526;-0,06356959;-0,001071237;0,001319066;0,009443286
21/11/2023;-0,006553819;0,02390345;-0,00162734;-0,003886015;0,001511145;-0,0421218;-0,012597798;-0,041549003;-0,011128537;-0,023650534;0,01635224;-0,009693129;-0,013887614;-0,002631577
22/11/2023;-0,037403188;-0,039939842;0,006169852;0,020553068;0,008457902;0,008964203;0,019086466;0,010550211;0,000447527;0,039563578;-0,003393319;0,008620743;0,00265303;0,003252549
23/11/2023;0,000284374;-0,006299022;-0,001295757;0,026350333;0,006901081;0,020123378;0,00099453;0,022239612;-0,004034975;0,031085984;-0,002165396;0,004282662;0,008611231;0,004278917
24/11/2023;0,002839298;-0,008506093;-0,005525774;0,000619003;-0,006152718;0;-0,004982571;-0,040394422;-0,019506175;0,004363009;-0,040821995;0,011683617;-0,015282214;-0,008397585
27/11/2023;-0,00568668;-0,00598397;-0,002610968;-0,006207345;0,005222918;0,000485791;0,012410187;0,001525553;0,010027431;0,01082496;-0,0004302;0,008412247;-0,013459972;0,001704925
28/11/2023;0,014999574;0,002180134;0,009756175;0,009296627;-0,007469689;0,023993473;-0,017417708;-0,023131332;0,015748357;0,005154651;-0,00091479;-0,009468771;0,001019628;0,006396904
29/11/2023;-0,010447646;-0,000272257;0,006773127;-0,004947444;0,016729015;-0,010486273;0,023320332;-0,044664521;0,002229655;-0,005585407;0,002688174;-0,005299429;0,002866376;-0,00294954
30/11/2023;0,019117816;0,005431106;0,015311304;0,008642029;-0,008701342;0,04543043;0,053008351;-0,026447823;0,030704166;0;-0,022643706;0,005299429;0,01359192;0,009195291
01/12/2023;-0,006705809;0,018381144;-0,002853069;0,003068428;-0,038284001;0,016799487;0,06046045;0,071112344;0,050947662;0,027620196;0,013636823;-0,009559287;0,011578106;0,006682893
04/12/2023;-0,021536678;-0,022723667;0,001269036;-0,008615438;0,00057943;-0,034351901;0,006980831;-0,030089364;-0,027889425;-0,010533066;-0,002712528;-0,013971211;-0,001470965;-0,010840786
05/12/2023;-0,004593749;-0,009290954;0,008209708;0,009227995;-0,006586618;0,03794741;0,00951976;0,036310224;-0,005927198;0,010533066;0,007684436;0,022472856;0,002461408;0,00079194
06/12/2023;-0,036634133;-0,006610684;-0,008844025;-0,010464854;-0,007413222;-0,014915531;-0,000861698;0,009259325;-0,000424719;-0,014777554;-0,00043136;0,009478744;0,004428465;-0,010142413
07/12/2023;-0,002390916;0,003173073;0,003167567;0,002472189;-0,003137873;0,046271599;0,001722653;0,055279196;0,02392559;0,003820849;0,002692951;0,002094242;0,006859041;0,003075284
08/12/2023;0,031514904;0,002751033;0,012570876;0,015921953;-0,002753739;-0,007418755;-0,00431221;-0,029500664;0,02498594;0,011794576;0,008888947;0,001045478;-0,006694791;0,00856573
11/12/2023;-0,00377633;0,000823836;-0,006894418;-0,007929288;0,012332544;-0,013227706;0,028122859;-0,031941879;-0,010982417;-0,005037794;0,001331877;-0,004188488;0,000820843;-0,001394906
12/12/2023;-0,008182395;0,001782654;-0,005044147;-0,004910998;-0,008597161;-0,004448406;0,003774381;0,039399035;0,019040478;-0,006756782;0,007108783;0,003143009;-0,010027461;-0,004053228
13/12/2023;0,014275552;0,000136996;0,029890145;0,042764722;0,017313923;0,05338651;0,019482482;0,045033027;0,035478691;0,031285137;0,013129062;0,030898442;0,038898714;0,023935739
14/12/2023;0,021463122;0,005464494;0,008248099;0,016954513;0,010742478;0,02710193;-0,019063984;0,005665738;-0,016006588;-0,015728801;0,02019436;0,007074309;0,037273145;0,010579984
